time,x,y,x_m,y_m,field_length_m,field_width_m,field_type,player
1943.68,0.2,0.29,21.0,19.72,105.0,68.0,11v11,Player12
1944.52,0.21,0.3,22.05,20.4,105.0,68.0,11v11,Player12
1948.16,0.35,0.44,36.75,29.92,105.0,68.0,11v11,Player12
1949.2,0.37,0.52,38.85,35.36,105.0,68.0,11v11,Player12
1950.68,0.39,0.65,40.95,44.2,105.0,68.0,11v11,Player12
2058.92,0.51,0.91,53.550000000000004,61.88,105.0,68.0,11v11,Player12
2058.92,0.51,0.91,53.550000000000004,61.88,105.0,68.0,11v11,Player12
2061.08,0.48,0.96,50.4,65.28,105.0,68.0,11v11,Player12
2061.72,0.48,0.97,50.4,65.96,105.0,68.0,11v11,Player12
2074.72,0.42,0.73,44.1,49.64,105.0,68.0,11v11,Player12
2076.28,0.45,0.81,47.25,55.080000000000005,105.0,68.0,11v11,Player12
2080.04,0.55,0.86,57.75000000000001,58.48,105.0,68.0,11v11,Player12
2081.04,0.57,0.84,59.849999999999994,57.12,105.0,68.0,11v11,Player12
2082.84,0.59,0.8,61.949999999999996,54.400000000000006,105.0,68.0,11v11,Player12
2083.6,0.59,0.79,61.949999999999996,53.72,105.0,68.0,11v11,Player12
2139.24,0.71,0.51,74.55,34.68,105.0,68.0,11v11,Player12
2140.08,0.72,0.55,75.6,37.400000000000006,105.0,68.0,11v11,Player12
2217.24,0.64,0.87,67.2,59.16,105.0,68.0,11v11,Player12
2220.92,0.65,0.88,68.25,59.84,105.0,68.0,11v11,Player12
2232.88,0.59,0.8,61.949999999999996,54.400000000000006,105.0,68.0,11v11,Player12
2234.16,0.66,0.78,69.3,53.04,105.0,68.0,11v11,Player12
2234.32,0.66,0.78,69.3,53.04,105.0,68.0,11v11,Player12
2366.84,0.4,0.24,42.0,16.32,105.0,68.0,11v11,Player12
2369.28,0.43,0.19,45.15,12.92,105.0,68.0,11v11,Player12
2369.28,0.43,0.19,45.15,12.92,105.0,68.0,11v11,Player12
2391.8,0.4,0.23,42.0,15.64,105.0,68.0,11v11,Player12
2392.84,0.41,0.25,43.05,17.0,105.0,68.0,11v11,Player12
2395.24,0.45,0.24,47.25,16.32,105.0,68.0,11v11,Player12
2395.24,0.45,0.24,47.25,16.32,105.0,68.0,11v11,Player12
2396.92,0.47,0.25,49.349999999999994,17.0,105.0,68.0,11v11,Player12
2396.92,0.47,0.25,49.349999999999994,17.0,105.0,68.0,11v11,Player12
2574.12,0.29,0.26,30.45,17.68,105.0,68.0,11v11,Player12
2576.08,0.28,0.31,29.400000000000002,21.08,105.0,68.0,11v11,Player12
2604.2,0.22,0.29,23.1,19.72,105.0,68.0,11v11,Player12
2605.2,0.23,0.32,24.150000000000002,21.76,105.0,68.0,11v11,Player12
2648.36,0.43,0.8,45.15,54.400000000000006,105.0,68.0,11v11,Player12
2648.36,0.43,0.8,45.15,54.400000000000006,105.0,68.0,11v11,Player12
2721.64,0.36,0.51,37.8,34.68,105.0,68.0,11v11,Player12
2725.52,0.41,0.6,43.05,40.8,105.0,68.0,11v11,Player12
2750.08,0.34,0.54,35.7,36.72,105.0,68.0,11v11,Player12
2751.4,0.33,0.6,34.65,40.8,105.0,68.0,11v11,Player12
2762.84,0.51,0.76,53.550000000000004,51.68,105.0,68.0,11v11,Player12
2762.84,0.51,0.76,53.550000000000004,51.68,105.0,68.0,11v11,Player12
3015.2,0.71,0.42,74.55,28.56,105.0,68.0,11v11,Player12
3015.2,0.71,0.42,74.55,28.56,105.0,68.0,11v11,Player12
3022.28,0.58,0.19,60.9,12.92,105.0,68.0,11v11,Player12
3023.92,0.58,0.25,60.9,17.0,105.0,68.0,11v11,Player12
3037.96,0.41,0.58,43.05,39.44,105.0,68.0,11v11,Player12
3037.96,0.41,0.58,43.05,39.44,105.0,68.0,11v11,Player12
3081.92,0.06,0.41,6.3,27.88,105.0,68.0,11v11,Player12
3081.92,0.06,0.41,6.3,27.88,105.0,68.0,11v11,Player12
3081.92,0.06,0.41,6.3,27.88,105.0,68.0,11v11,Player12
3129.52,0.53,0.27,55.650000000000006,18.36,105.0,68.0,11v11,Player12
3130.6,0.49,0.27,51.449999999999996,18.36,105.0,68.0,11v11,Player12
3132.84,0.49,0.35,51.449999999999996,23.799999999999997,105.0,68.0,11v11,Player12
3132.84,0.49,0.35,51.449999999999996,23.799999999999997,105.0,68.0,11v11,Player12
3203.28,0.76,0.19,79.8,12.92,105.0,68.0,11v11,Player12
3203.4,0.76,0.19,79.8,12.92,105.0,68.0,11v11,Player12
3206.64,0.64,0.22,67.2,14.96,105.0,68.0,11v11,Player12
3381.16,0.61,0.8,64.05,54.400000000000006,105.0,68.0,11v11,Player12
3381.68,0.61,0.79,64.05,53.72,105.0,68.0,11v11,Player12
3552.8,0.56,0.41,58.800000000000004,27.88,105.0,68.0,11v11,Player12
3552.8,0.56,0.41,58.800000000000004,27.88,105.0,68.0,11v11,Player12
3575.08,0.45,0.23,47.25,15.64,105.0,68.0,11v11,Player12
3579.44,0.26,0.25,27.3,17.0,105.0,68.0,11v11,Player12
3748.64,0.44,0.6,46.2,40.8,105.0,68.0,11v11,Player12
3748.64,0.44,0.6,46.2,40.8,105.0,68.0,11v11,Player12
3943.04,0.44,0.54,46.2,36.72,105.0,68.0,11v11,Player12
3944.6,0.4,0.43,42.0,29.24,105.0,68.0,11v11,Player12
4061.2,0.7,0.3,73.5,20.4,105.0,68.0,11v11,Player12
4110.12,0.63,0.61,66.15,41.48,105.0,68.0,11v11,Player12
4111.72,0.62,0.55,65.1,37.400000000000006,105.0,68.0,11v11,Player12
4160.12,0.26,0.87,27.3,59.16,105.0,68.0,11v11,Player12
4161.56,0.27,0.89,28.35,60.52,105.0,68.0,11v11,Player12
4195.24,0.59,0.38,61.949999999999996,25.84,105.0,68.0,11v11,Player12
4196.24,0.59,0.36,61.949999999999996,24.48,105.0,68.0,11v11,Player12
4233.6,0.73,0.29,76.64999999999999,19.72,105.0,68.0,11v11,Player12
4233.6,0.73,0.29,76.64999999999999,19.72,105.0,68.0,11v11,Player12
4233.6,0.73,0.29,76.64999999999999,19.72,105.0,68.0,11v11,Player12
4238.72,0.67,0.24,70.35000000000001,16.32,105.0,68.0,11v11,Player12
4239.48,0.67,0.25,70.35000000000001,17.0,105.0,68.0,11v11,Player12
4532.56,0.61,0.75,64.05,51.0,105.0,68.0,11v11,Player12
4532.8,0.61,0.75,64.05,51.0,105.0,68.0,11v11,Player12
4641.24,0.47,0.81,49.349999999999994,55.080000000000005,105.0,68.0,11v11,Player12
4642.48,0.46,0.82,48.300000000000004,55.76,105.0,68.0,11v11,Player12
4665.52,0.74,0.54,77.7,36.72,105.0,68.0,11v11,Player12
4665.92,0.74,0.54,77.7,36.72,105.0,68.0,11v11,Player12
4676.0,0.56,0.8,58.800000000000004,54.400000000000006,105.0,68.0,11v11,Player12
4676.6,0.56,0.82,58.800000000000004,55.76,105.0,68.0,11v11,Player12
4678.32,0.55,0.89,57.75000000000001,60.52,105.0,68.0,11v11,Player12
4679.8,0.57,0.89,59.849999999999994,60.52,105.0,68.0,11v11,Player12
4721.04,0.54,0.6,56.7,40.8,105.0,68.0,11v11,Player12
4721.32,0.53,0.6,55.650000000000006,40.8,105.0,68.0,11v11,Player12
