time,x,y
4313.96,0.33,0.14
4315.6,0.35,0.02
4329.56,0.59,0.05
4330.12,0.58,0.06
4340.44,0.82,0.12
4344.44,0.92,0.28
4385.4,0.72,0.02
4391.0,0.81,0.25
4546.92,0.54,0.03
4549.04,0.57,0.03
4590.8,0.74,0.47
4590.8,0.74,0.47
4591.08,0.74,0.47
4804.32,0.56,0.06
4807.96,0.59,0.38
4978.04,0.5,0.07
4980.16,0.55,0.07
4984.56,0.81,0.04
4988.84,0.94,0.3
5084.2,0.46,0.27
5087.56,0.62,0.24
5095.68,0.84,0.02
5095.92,0.83,0.02
5133.4,0.19,0.5
5133.4,0.19,0.5
5133.96,0.21,0.54
5133.96,0.21,0.54
5201.72,0.79,0.16
5207.08,0.88,0.32
5334.36,0.56,0.05
5336.12,0.57,0.04
5347.12,0.84,0.09
5351.28,0.83,0.02
5649.2,0.77,0.06
5657.44,0.86,0.03
5710.2,0.6,0.04
5715.44,0.72,0.08
