time,x,y
159.76,0.93,0.55
163.72,0.93,0.56
267.4,0.95,0.45
267.4,0.95,0.45
385.36,0.97,0.44
385.36,0.97,0.44
463.44,0.78,0.55
620.84,0.94,0.61
620.84,0.94,0.61
742.32,0.96,0.6
742.32,0.96,0.6
757.24,0.96,0.74
757.24,0.96,0.74
1089.88,0.95,0.46
1089.88,0.95,0.46
1124.24,0.98,0.48
1133.56,0.86,0.55
1261.84,0.96,0.62
1261.84,0.96,0.62
2019.72,0.98,0.91
2304.24,0.99,0.55
2304.24,0.99,0.55
2362.12,0.96,0.47
2362.12,0.96,0.47
2431.68,0.96,0.49
2431.68,0.96,0.49
2529.56,0.95,0.45
2529.56,0.95,0.45
2584.68,0.96,0.61
2584.68,0.96,0.61
2700.56,0.99,0.54
2700.56,0.99,0.54
2771.52,0.98,0.47
2774.28,0.9,0.52
3100.4,0.04,0.48
3103.28,0.05,0.45
3315.2,0.1,0.67
3703.12,0.05,0.52
3703.12,0.05,0.52
3753.56,0.06,0.45
3755.84,0.1,0.42
3809.88,0.18,0.28
3810.56,0.19,0.28
3952.0,0.0,0.44
3952.0,0.0,0.44
3960.48,0.02,0.48
3960.48,0.02,0.48
4051.04,0.15,0.52
4054.08,0.19,0.51
4758.4,0.01,0.44
4789.32,0.04,0.5
4917.08,0.01,0.56
4922.8,0.04,0.59
4961.8,0.01,0.32
4962.04,0.01,0.32
4994.72,0.19,0.49
5024.88,0.11,0.43
5441.0,0.01,0.62
5448.4,0.15,0.64
